state,PctPopUnderPov,PctUnemployed,LemasPctPolicOnPatr,totalCrimesPerPop,StateFull,LongRunPovertyRate,PovertyTier
CA,17.54,5.62,89.89,13110.47,California,10.65231688752142,Low
GA,27.29,9.13,95.17,17352.36,Georgia,20.037233822532773,High
CA,13.56,7.32,88.4,8005.73,California,10.65231688752142,Low
MA,7.55,7.65,94.87,4089.47,Massachusetts,18.40149921028045,High
FL,10.65,4.8,92.41,7546.23,Florida,18.21895519963455,High
OR,14.5,6.4,78.1,8395.62,Oregon,13.1784340759473,Mid
NJ,8.79,5.88,91.12,3276.72,New Jersey,8.78965701623996,Low
MA,15.91,9.34,94.08,8974.2,Massachusetts,18.40149921028045,High
NJ,3.04,4.85,93.06,4375.8,New Jersey,8.78965701623996,Low
MA,5.96,6.42,92.59,4054.55,Massachusetts,18.40149921028045,High
TX,19.36,7.55,83.82,9225.55,Texas,8.584604858958713,Low
CA,7.99,4.57,93.38,5160.52,California,10.65231688752142,Low
OR,9.25,3.41,66.67,6396.1,Oregon,13.1784340759473,Mid
MA,6.93,5.8,72.03,3894.66,Massachusetts,18.40149921028045,High
FL,12.81,5.2,88.31,9997.82,Florida,18.21895519963455,High
NJ,18.88,10.83,78.32,8283.19,New Jersey,8.78965701623996,Low
WI,15.86,7.63,86.63,7521.8,Wisconsin,17.294074748835754,Mid
FL,17.11,6.68,86.71,15628.33,Florida,18.21895519963455,High
TX,3.34,2.88,99.41,4340.32,Texas,8.584604858958713,Low
FL,16.27,5.81,80.21,10489.62,Florida,18.21895519963455,High
NC,18.09,5.66,98.23,10467.66,North Carolina,9.105877080749751,Low
NY,19.98,8.21,92.65,6154.75,New York,10.898910102683956,Low
OK,11.25,6.58,86.81,6330.74,Oklahoma,21.74275491797984,High
CA,12.98,8.9,94.74,7454.7,California,10.65231688752142,Low
TX,24.24,8.93,96.32,11120.5,Texas,8.584604858958713,Low
VA,7.09,3.5,87.55,7327.98,Virginia,19.26287883401769,High
VA,6.14,2.11,60.38,2583.1,Virginia,19.26287883401769,High
FL,11.01,6.05,88.77,9105.6,Florida,18.21895519963455,High
PA,21.42,9.07,98.28,8159.42,Pennsylvania,9.660425938108526,Low
NJ,4.7,4.71,89.44,3290.94,New Jersey,8.78965701623996,Low
FL,16.05,6.34,96.85,13740.49,Florida,18.21895519963455,High
WA,12.04,6.38,91.28,8348.09,Washington,13.299088293519986,Mid
TX,16.77,6.76,89.6,8288.83,Texas,8.584604858958713,Low
CA,10.42,6.21,90.48,6465.95,California,10.65231688752142,Low
CA,21.37,10.28,94.21,11164.59,California,10.65231688752142,Low
CO,7.6,4.78,95.81,6144.75,Colorado,10.651906845715445,Low
FL,31.17,11.02,63.86,18508.39,Florida,18.21895519963455,High
NM,13.98,6.32,89.2,9353.03,New Mexico,18.32826248232445,High
NJ,12.22,8.65,91.27,8179.9,New Jersey,8.78965701623996,Low
CA,4.69,3.96,82.61,4191.88,California,10.65231688752142,Low
FL,19.88,7.05,96.64,12012.14,Florida,18.21895519963455,High
AZ,5.89,4.4,95.95,5293.17,Arizona,20.443897010793886,High
TX,14.42,6.24,85.62,5536.22,Texas,8.584604858958713,Low
AL,11.63,5.51,97.52,9748.36,Alabama,14.367182020405163,Mid
TX,20.0,8.27,90.74,9846.58,Texas,8.584604858958713,Low
FL,26.33,6.59,84.38,12026.34,Florida,18.21895519963455,High
FL,3.54,3.91,94.7,9133.08,Florida,18.21895519963455,High
CA,11.94,6.91,65.3,9258.46,California,10.65231688752142,Low
NJ,16.4,8.59,90.0,5853.54,New Jersey,8.78965701623996,Low
NC,18.75,7.33,79.09,11988.21,North Carolina,9.105877080749751,Low
SD,8.61,3.0,92.54,4442.63,South Dakota,10.07464999236124,Low
VA,8.97,4.23,87.74,4353.73,Virginia,19.26287883401769,High
WV,18.77,7.34,81.01,12148.6,West Virginia,16.841156360022783,Mid
VA,17.74,7.33,80.68,9065.59,Virginia,19.26287883401769,High
AL,18.08,7.0,57.34,6282.8,Alabama,14.367182020405163,Mid
CA,15.58,10.81,96.21,7048.07,California,10.65231688752142,Low
CA,8.48,6.55,93.89,8352.08,California,10.65231688752142,Low
IN,14.61,7.12,88.89,5464.01,Indiana,11.609764881530694,Low
TX,19.53,8.08,67.39,10626.17,Texas,8.584604858958713,Low
CA,8.32,5.12,90.41,4811.01,California,10.65231688752142,Low
FL,25.22,8.9,93.61,18074.06,Florida,18.21895519963455,High
LA,25.26,11.45,76.48,11482.51,Louisiana,16.92085933774804,Mid
NH,6.53,6.03,86.71,3336.86,New Hampshire,18.07104767065472,Mid
NC,11.58,4.52,53.19,7713.57,North Carolina,9.105877080749751,Low
IN,12.47,5.58,78.83,9031.66,Indiana,11.609764881530694,Low
OH,28.67,14.0,83.59,8213.12,Ohio,24.41574456226751,High
CO,21.65,9.28,90.42,6867.95,Colorado,10.651906845715445,Low
CA,6.23,4.43,91.67,5937.69,California,10.65231688752142,Low
CA,18.15,8.52,92.15,6693.04,California,10.65231688752142,Low
WI,5.25,4.01,95.38,4752.81,Wisconsin,17.294074748835754,Mid
FL,6.51,4.86,92.0,6712.79,Florida,18.21895519963455,High
AZ,11.46,5.99,92.93,7862.39,Arizona,20.443897010793886,High
TX,4.52,3.85,81.74,4478.58,Texas,8.584604858958713,Low
VA,5.86,3.86,91.46,4751.83,Virginia,19.26287883401769,High
AZ,14.18,6.64,94.41,8914.47,Arizona,20.443897010793886,High
NJ,2.52,3.16,90.6,4635.2,New Jersey,8.78965701623996,Low
GA,17.87,5.77,95.73,7824.72,Georgia,20.037233822532773,High
FL,20.67,6.22,93.38,15345.59,Florida,18.21895519963455,High
OK,15.94,9.2,82.19,7019.14,Oklahoma,21.74275491797984,High
TN,17.27,6.58,84.21,5299.73,Tennessee,16.418007471891592,Mid
TX,4.42,3.88,91.91,5470.02,Texas,8.584604858958713,Low
WA,12.38,4.88,90.92,11858.1,Washington,13.299088293519986,Mid
TX,14.15,7.38,90.86,6996.35,Texas,8.584604858958713,Low
TN,20.97,6.9,90.44,10904.59,Tennessee,16.418007471891592,Mid
OR,8.28,4.09,66.83,3830.22,Oregon,13.1784340759473,Mid
MA,14.28,9.93,87.29,2264.41,Massachusetts,18.40149921028045,High
CT,6.06,5.45,97.17,5430.67,Connecticut,8.98742140685939,Low
